Name,Link
Anyuta na Fontanke mini hotel,https://tury.ru/hotel/id/86149-russia-st-petersburg-anyuta-na-fontanke-mini-hotel
Baskov mini hotel 3*,https://tury.ru/hotel/id/86157-russia-st-petersburg-baskov-mini-hotel
Korall mini hotel St.Petersburg,https://tury.ru/hotel/id/86161-russia-st-petersburg-korall-mini-hotel-st-petersburg
33 udovolstviya private hotel 4*,https://tury.ru/hotel/id/86170-russia-st-petersburg-33-udovolstviya-private-hotel
Trezzini hotel 4*,https://tury.ru/hotel/id/86198-russia-st-petersburg-trezzini-hotel-4
Ozerki-Otel 3*,https://tury.ru/hotel/id/86201-russia-st-petersburg-ozerki-otel-ozerki-otel
Apaida privat hotel 2*,https://tury.ru/hotel/id/86206-russia-st-petersburg-apajda-privat-hotel
Krysha mini hotel 3*,https://tury.ru/hotel/id/86208-russia-st-petersburg-krysha-mini-hotel
Austrian yard mini hotel 3*,https://tury.ru/hotel/id/86209-russia-st-petersburg-avstrijskij-dvorik-mini-hotel
Elizar Hotel 3*,https://tury.ru/hotel/id/86267-russia-st-petersburg-elizar-hotel-3
Chehov mini hotel,https://tury.ru/hotel/id/86270-russia-st-petersburg-chehov-mini-hotel
Altburg on liteynyy mini hotel Saint Petersburg 3*,https://tury.ru/hotel/id/86316-russia-st-petersburg-altburg-on-liteynyy-mini-hotel-saint-petersburg
Altburg na Nevskom 53 mini hotel 4*,https://tury.ru/hotel/id/86335-russia-st-petersburg-altburg-na-nevskom-53-mini-hotel
Nemetskii Club mini hotel 3*,https://tury.ru/hotel/id/86363-russia-st-petersburg-nemeckiy-klub-nemetskij-klub
Asteri mini hotel,https://tury.ru/hotel/id/86378-russia-st-petersburg-asteri-mini-hotel
Severnaya Venetciya mini hotel,https://tury.ru/hotel/id/86383-russia-st-petersburg-severnaya-veneciya-severnaya-venetsiya
Kamerdiner mini hotel,https://tury.ru/hotel/id/86434-russia-st-petersburg-kamerdiner-mini-hotel
Abri Hotel 3*,https://tury.ru/hotel/id/86436-russia-st-petersburg-abri-hotel-3
Pushkin mini hotel 3*,https://tury.ru/hotel/id/86440-russia-st-petersburg-pushkin-pushkin
Nevsky Breeze Hotel,https://tury.ru/hotel/id/86691-russia-st-petersburg-nevsky-breeze-hotel
Vera hotel Saint-Petersburg,https://tury.ru/hotel/id/86866-russia-st-petersburg-vera-hotel-saint-petersburg
Alt Ritter mini hotel,https://tury.ru/hotel/id/86868-russia-st-petersburg-alt-ritter-mini-hotel
